"","x"
"298",225171.718269175
"299",610281.954042516
"300",1089655.64547994
"301",304265.339831563
"302",315380.932457283
"303",771821.03150503
"304",684886.165593
"305",440531.602698241
"306",1246007.17803793
"307",362737.356778833
"308",335876.7586684
"309",375034.973354952
"310",528323.204731574
"311",445684.430517385
"312",633880.129630021
"313",201363.630003539
"314",586733.298823746
"315",877343.083864966
"316",1344545.06976974
"317",454663.676233264
"318",253267.782252243
"319",1065171.13938049
"320",433541.8824202
"321",640138.229464643
"322",488398.316173072
"323",305947.780650548
"324",286838.239909952
"325",552853.470153958
"326",314113.898500809
"327",547970.83326525
"328",476442.673027903
"329",331174.815757685
"330",904966.804906828
"331",355638.887511408
"332",467732.742361157
"333",1232852.31475845
"334",344459.483416131
"335",461396.78026696
"336",257149.363801202
"337",562836.284341167
"338",578789.092292123
"339",304688.878079764
"340",578796.312011943
"341",242941.850941427
"342",366181.120625311
"343",323052.396274663
"344",237729.098432435
"345",301929.65623953
"346",331796.276315481
"347",234798.921969244
"348",369466.21646015
"349",482228.073348377
"350",466538.623308834
"351",302284.909063235
"352",401870.191595584
"353",354853.084506905
"354",496569.363386215
"355",385946.01304004
"356",464972.868708002
"357",406169.744346135
"358",293926.442967324
"359",311533.190223818
"360",354905.724126775
"361",448775.399825736
"362",1033692.16927654
"363",1528530.09257042
"364",360330.175300596
"365",197857.859005895
"366",726198.596485669
"367",334933.938743365
"368",336033.984093802
"369",649029.339192787
"370",496046.405239808
"371",295408.78461049
"372",404218.808690316
"373",509019.946420776
"374",681583.928381993
"375",407777.331120551
"376",1806868.25426112
"377",235712.285735244
"378",623791.333701935
"379",493317.94059154
"380",488329.037805718
"381",572406.130313796
"382",859788.498789407
"383",291742.804372269
"384",301228.837334193
"385",460597.705886025
"386",545304.714569462
"387",625657.542522234
"388",839231.105532339
"389",308106.644762876
"390",781460.259935304
"391",843445.446338157
"392",546261.778499423
"393",697285.48705344
"394",1075836.36845996
"395",511366.269729254
"396",349682.190293269
"397",224034.951903832
"398",499036.404172674
"399",781619.498581467
"400",338693.601962622
"401",846154.246597153
"402",219779.060877708
"403",563882.728485366
"404",177632.352829051
"405",259709.03904532
"406",817005.844123818
"407",216317.512537559
"408",728970.425851228
"409",645463.580599832
"410",286839.14140806
"411",346375.199568265
"412",650708.61101134
"413",332519.417061565
"414",221600.048505196
"415",1201529.20897001
"416",398910.283507745
"417",326080.673618408
"418",282522.642572257
"419",302374.037797101
"420",187863.233450332
"421",479610.046867422
"422",945354.771019346
"423",263477.408230251
"424",872888.639190581
"425",791789.738025113
"426",499053.737266452
"427",1053351.55659432
"428",1297414.3345397
"429",997026.141059512
"430",553112.270994351
"431",758179.014764405
"432",382676.713608623
"433",677341.316963715
"434",597680.325037571
"435",277553.392168743
"436",715485.862687086
"437",408989.384093457
"438",877747.521752809
"439",513667.719314842
"440",236811.090265945
"441",529195.836509986
"442",279940.814628858
"443",602960.195052942
"444",1328561.99119939
"445",254545.710317946
"446",321745.55439712
"447",307914.825688279
"448",356495.037055223
"449",309798.098248949
"450",672535.112284138
"451",808823.005270731
"452",260174.142578817
"453",534051.351603654
"454",463157.606746247
"455",543160.032693682
"456",453715.048790084
"457",238723.363522526
"458",677209.105631918
"459",720174.507136637
"460",258909.914098607
"461",1223402.12328155
"462",290489.865503151
"463",1155870.06652558
"464",578737.092441152
"465",481860.110927155
"466",562568.839263675
"467",293654.519217725
"468",275692.102354161
"469",202248.349880476
"470",749220.370044572
"471",698587.533730809
"472",287750.189400011
"473",266341.868464321
"474",858653.467898384
"475",507572.229356986
"476",475098.639944352
"477",392378.047372076
"478",451904.579154388
"479",309163.17492181
"480",440039.613746299
"481",276316.535964254
"482",306003.821453149
"483",616357.170366549
"484",547988.829104961
"485",422004.462756172
"486",596817.935586422
"487",481120.92768035
"488",1232106.84727438
"489",302690.765560691
"490",316268.719004038
"491",355614.82959129
"492",492540.775827189
"493",175213.604374159
"494",340708.424879924
"495",1560179.83298441
"496",302065.600163375
"497",306791.293421636
"498",1497030.39126052
"499",690447.385000215
"500",394737.17647833
"501",244527.435135083
"502",288864.968385891
"503",286298.341992462
"504",379901.798944491
"505",324821.348970117
"506",262907.569040788
"507",190403.246031947
"508",493987.568758854
"509",872710.854337117
"510",525870.910125138
"511",409687.533323571
"512",239113.364423065
"513",575899.721920289
"514",733108.270896439
"515",1155845.90380033
"516",1374286.0495622
"517",1439946.63745963
"518",343259.002378192
"519",205000.31134395
"520",370990.791438978
"521",548853.774580352
"522",374196.12565057
"523",569763.535001034
"524",559770.811135224
"525",360358.391098936
"526",269218.506327094
"527",426866.082472593
"528",320438.628094478
"529",1121574.67961168
"530",565784.672338096
"531",426200.815966033
"532",1116744.14993543
"533",844568.030105348
"534",728189.011172801
"535",680890.906600758
"536",430715.992800242
"537",1041564.33494402
"538",649199.889677625
"539",363326.418180683
"540",447700.036097651
"541",544464.127282205
"542",342829.797461167
"543",448554.058691076
"544",704433.344792319
"545",1000880.0006003
"546",335851.558432573
"547",407604.85445414
"548",276183.00488131
"549",917838.675060245
"550",562258.321020823
"551",268810.015978935
"552",573744.467021823
"553",714263.720143584
"554",779994.584006157
"555",599067.396181244
"556",296015.298702562
"557",265284.303313172
"558",573835.799721916
"559",219916.96203724
"560",660578.189766117
"561",574465.610506186
"562",451865.99605491
"563",314513.921648586
"564",873036.008607472
"565",223393.492452247
"566",432755.029648861
"567",680522.173731142
"568",463318.380834915
"569",1126852.15770038
"570",352189.815467773
"571",300894.96056941
"572",578233.476140557
"573",333051.095955021
"574",446024.834725
"575",317446.303034676
"576",246104.394588876
"577",569413.168714554
"578",335345.497982833
"579",885212.167798919
"580",280761.085844487
"581",627804.303702349
"582",338229.180098997
"583",581596.910258805
"584",491941.075711146
"585",526475.990267591
"586",433893.223863434
"587",277878.746963821
"588",936735.33517016
"589",316714.997303708
"590",266672.121294956
"591",168245.866353049
"592",182643.184214597
"593",504427.023044416
"594",450949.626270861
"595",299040.267200076
"596",1008865.39126002
"597",459010.523582847
"598",607617.822126111
"599",519955.540663508
"600",815543.565161131
"601",671920.594995814
"602",630076.322157611
"603",576445.509857449
"604",298333.290845164
"605",365609.516633916
"606",746241.072783948
"607",183903.885855569
"608",480064.322525237
"609",307381.126046976
"610",472828.153730482
"611",1658871.9287549
"612",530789.632857453
"613",631338.830471881
"614",298108.237611459
"615",344569.640251829
"616",252730.909784577
"617",1157332.45890066
"618",219546.81160565
"619",409793.48893878
"620",486789.435375823
"621",853125.522459449
"622",294113.797180464
"623",455591.161460833
"624",279366.106192796
"625",417517.868362581
"626",692007.146479179
"627",400233.023761818
"628",470060.076188305
"629",495506.094190516
"630",519274.797645547
"631",444782.88697853
"632",280900.023697531
"633",504970.472775674
"634",215125.49502497
"635",485533.702674073
"636",567744.169310189
"637",505100.761403558
"638",422518.227450213
"639",259586.697775265
"640",438464.542665504
"641",232049.09882791
"642",404161.545972998
"643",382179.59073768
"644",390620.443238278
"645",356254.828297827
"646",1137888.07387922
"647",400085.563439582
"648",423668.557049566
"649",672160.607674547
"650",718341.182128515
"651",255181.138601232
"652",962605.732605037
"653",614857.193378683
"654",215046.331510483
"655",930116.326118605
"656",218961.721312356
"657",227649.882730183
"658",352939.359058289
"659",374298.610959265
"660",380180.856520086
"661",396761.483107333
"662",357605.725743115
"663",526914.051282633
"664",311334.680595297
"665",215779.522095769
"666",185494.580301649
"667",388820.431492868
"668",646985.898450497
"669",483401.272758511
"670",438307.407649243
"671",487366.222353785
"672",449539.634266087
"673",1347769.18834148
"674",462000.273310321
"675",445106.391453937
"676",743901.408757819
"677",1325268.46142643
"678",167012.013188146
"679",390435.304940384
"680",433217.854018213
"681",294489.293149672
"682",214001.681586023
"683",953490.359139824
"684",525762.023658309
"685",419199.92099091
"686",752245.447417747
"687",444729.88595693
"688",356978.429088929
"689",566526.302254792
"690",321426.710040417
"691",434312.604390089
"692",1148990.66185427
"693",595280.503920061
"694",752385.170298989
"695",631279.722749291
"696",761839.155900355
"697",452792.408606804
"698",531279.281909411
"699",393180.794797609
"700",1544498.23102457
"701",684364.133129723
"702",1655031.01063981
"703",470611.281880164
"704",302940.53929657
"705",461777.106876292
"706",476491.099749418
"707",593253.621818979
"708",871948.093530647
"709",198205.27344471
"710",474844.072760249
"711",749163.116183147
"712",722308.097885522
"713",628263.686207444
"714",437047.787025895
"715",508996.065886924
"716",582753.883885205
"717",284119.539521393
"718",373824.971144791
"719",313636.818984311
"720",496799.758744396
"721",898646.149280521
"722",800035.216792663
"723",659363.497405251
"724",497058.575417337
"725",765738.428588453
"726",384876.966629289
"727",409567.325583812
"728",202300.761317786
"729",1070672.76177281
"730",454715.62896325
"731",506062.084814356
"732",387732.799033471
"733",793055.827247476
"734",1111220.92559359
"735",630446.2443473
"736",491545.470772057
"737",714038.492747181
"738",357068.616557856
"739",558050.722934063
"740",331803.041021979
"741",604062.247832747
"742",856816.196312102
"743",479801.56482209
"744",523286.965319738
"745",412396.853044107
"746",604413.751452566
"747",276159.76247669
"748",151950.321068263
"749",578999.646707656
"750",525961.066037968
"751",340620.132405077
"752",1878220.29918638
"753",921161.773300845
"754",338522.923141231
"755",867868.013195766
"756",248145.498799626
"757",601904.333888512
"758",723881.323614277
"759",379718.688809145
"760",394637.172057275
"761",459425.603755018
"762",267745.639709665
"763",455419.655384501
"764",204756.816315733
"765",321115.511228806
"766",327994.482261424
"767",277303.457683492
"768",652932.238288272
"769",249415.675741254
"770",1111680.10188426
"771",501703.638144166
"772",1165912.95626591
"773",1011268.3949821
"774",362214.195686504
"775",209526.247746179
"776",405594.63533709
"777",546092.965821594
"778",985217.963354157
"779",566385.762703632
"780",281047.230360941
"781",383693.001216157
"782",525774.138226966
"783",406874.560067032
"784",234694.659774597
"785",219012.317578403
"786",402471.748013145
"787",460048.211362994
"788",484578.197086459
"789",293034.232788855
"790",710655.025521973
"791",351374.927316379
"792",748365.888296487
"793",1166033.60079712
"794",546755.348388256
"795",658051.520913029
"796",555767.134735527
"797",391257.037771401
"798",387860.472633796
"799",207375.215346361
"800",832463.618238382
"801",272480.28650297
"802",858871.457035847
"803",479059.938231803
"804",592678.325218842
"805",824754.329989159
"806",682580.185178539
"807",883497.787433146
"808",699341.644026564
"809",489837.725298979
"810",378311.404636854
"811",666026.385422484
"812",457926.129675994
"813",777813.282641358
"814",396552.269605006
"815",263158.944104565
"816",365930.249674656
"817",379433.218213543
"818",283234.466564388
"819",274553.188686215
"820",895317.548079243
"821",344647.348648112
"822",724336.565262044
"823",1104183.36427129
"824",577055.768866965
"825",646912.497246108
"826",389635.386095255
"827",386746.363800217
"828",516202.88431
"829",591644.471987524
"830",366313.264849772
"831",663893.371753652
"832",201134.173591059
"833",258975.064488961
"834",261162.422729918
"835",754719.523424426
"836",434980.279095228
"837",440737.854194208
"838",793320.417006811
"839",485362.476197442
"840",619470.276976679
"841",488367.43283478
"842",1266643.21670177
"843",2752895.94006971
"844",274514.40045056
"845",638382.326572962
"846",756408.152904234
"847",658962.477412556
"848",338276.155931406
"849",1895741.30597465
"850",296365.442608837
"851",179045.051284102
"852",391521.654862668
"853",274237.602967968
"854",370302.795597431
"855",516483.602114614
"856",372720.661377496
"857",316147.961680088
"858",471462.17822203
"859",256401.235670301
"860",820227.324012924
"861",416504.111535596
"862",267395.886952903
"863",531676.336594678
"864",391439.292102333
"865",351810.02779717
"866",805690.467970749
"867",547709.735228229
"868",329001.853269986
"869",647994.907346148
"870",472650.075503135
"871",511282.433339174
"872",363563.96166964
"873",294436.5285526
"874",397549.529087172
"875",431004.20115086
"876",773821.762399148
"877",375854.35634457
"878",706709.726636839
"879",685733.282261233
"880",1477359.79132406
"881",1002012.35524256
"882",363194.752470548
"883",357913.672155577
"884",648621.38289421
"885",408610.322799897
"886",253415.576066151
"887",297466.89333592
"888",465876.463522695
"889",570451.13084949
"890",329126.528910967
"891",414727.080418996
"892",312421.005252742
"893",286913.673057085
"894",440761.75919557
"895",614884.830293048
"896",626291.341189135
"897",410389.931640717
"898",346038.347883689
"899",287436.390709995
"900",407819.097180068
"901",343643.782851307
"902",597651.363885348
"903",231134.136304706
"904",275604.743036565
"905",571572.860931401
"906",244013.716829885
"907",458520.128631197
"908",413262.744633613
"909",713318.35149126
"910",324495.855336198
"911",345962.079895034
"912",564908.361313675
"913",353309.414030357
"914",372602.561840438
"915",187316.51130346
"916",344889.492490914
"917",636047.108738705
"918",470714.930647982
"919",824737.150121527
"920",676266.083547387
"921",406305.44813039
"922",441990.205217135
"923",699715.396610692
"924",1768143.64875122
"925",559395.051855667
"926",277329.936102706
"927",498471.88608506
"928",692844.23369854
"929",279075.131565654
"930",306817.827816389
"931",1449692.8524969
"932",220259.617168943
"933",790586.835778244
"934",333354.3601949
"935",381723.165067836
"936",615947.692468874
"937",241229.375386068
"938",330942.502946295
"939",246630.474068414
"940",335391.077359981
"941",640958.968703509
"942",445106.521326917
"943",642457.764576462
"944",338090.299965087
"945",301757.320664197
"946",773821.937729456
"947",218371.555741709
"948",252749.782102071
"949",313133.450972347
"950",454176.281203057
"951",651141.440778957
"952",351601.917807239
"953",241690.483971846
"954",418907.124340106
"955",791842.02482302
"956",206718.033559003
"957",627498.676365078
"958",281739.55697223
"959",512292.924732991
"960",782032.681878258
"961",654201.746308864
"962",777470.500644399
"963",318995.280229544
"964",290595.36016599
"965",415843.475452146
"966",474842.695721387
"967",468325.50018039
"968",553688.044793947
"969",734067.112231693
"970",711606.49095613
"971",520617.789792765
"972",441817.327761791
"973",303884.573755681
"974",810087.97207214
"975",618868.659166381
"976",574308.751286503
"977",950897.655190388
"978",578177.206199541
"979",417993.039064752
"980",359500.256695736
"981",641869.472924826
"982",637395.471174639
"983",406685.805489442
"984",372621.227982707
"985",279709.466947489
"986",349839.055902855
"987",429564.897790335
"988",257341.88188539
"989",489260.987875013
"990",361909.065662685
"991",341870.433883006
"992",700470.315173761
"993",1544638.33658705
"994",304112.603874254
"995",464326.371583557
"996",478195.744147662
"997",643719.010072089
"998",560327.926437334
"999",521376.729686432
"1000",573775.159493848
"1001",472756.19180886
"1002",465957.776401072
"1003",348548.707589994
"1004",1125386.34570743
"1005",332694.419600396
"1006",538045.453943073
"1007",855295.402825548
"1008",893088.410595377
"1009",746369.027501559
"1010",588671.418779123
"1011",535630.957964499
"1012",221857.324291886
"1013",893746.567069459
"1014",377767.141859132
"1015",399982.134610751
"1016",662591.083704678
"1017",218772.090932405
"1018",184042.282368726
"1019",250481.881341158
"1020",461746.332187826
"1021",411483.904265622
"1022",658479.421261041
"1023",739795.14069835
"1024",761647.289765624
"1025",373454.391037785
"1026",204274.865551835
"1027",623210.535255886
"1028",197359.980589151
"1029",340558.32270629
"1030",417165.239290574
"1031",560457.601054951
"1032",407864.242878135
"1033",312364.770623485
"1034",659643.475363314
"1035",341520.022958751
"1036",645208.46290799
"1037",771770.38278703
"1038",364445.094919402
"1039",288342.085485448
"1040",428674.821367097
"1041",749918.50210697
"1042",558775.893714736
"1043",151950.300833696
"1044",397841.022454801
"1045",308570.356526978
"1046",654737.040284062
"1047",396644.985455692
"1048",258352.629534751
"1049",249889.753937635
"1050",854835.251397043
"1051",459307.241444088
"1052",367003.482490333
"1053",500536.63864042
"1054",478243.262009681
"1055",335525.913997663
"1056",448366.611919966
"1057",729923.709470471
"1058",498558.294995217
"1059",541605.452117352
"1060",587873.474873392
"1061",634096.54399284
"1062",1587611.27863152
"1063",553042.08745959
"1064",292897.854478081
"1065",602926.195641759
"1066",290208.567769551
"1067",287109.27458778
"1068",544621.391983492
"1069",639863.206546057
"1070",665071.530955523
"1071",1071719.18357445
"1072",269034.912951126
"1073",298773.724223117
"1074",251529.145854406
"1075",311605.301115257
"1076",692528.645840819
"1077",258634.08110296
"1078",736279.932622798
"1079",294040.803999006
"1080",250809.454156817
"1081",433629.055557073
"1082",323320.351410969
"1083",292277.613979023
"1084",438455.510850375
"1085",503859.016685337
"1086",276101.6098795
"1087",584538.341657493
"1088",600893.755263419
"1089",256783.766932296
"1090",383115.087300842
"1091",290400.799967624
"1092",328006.125229893
"1093",365922.306669326
"1094",489034.87360356
"1095",669483.034142846
"1096",463297.667927665
"1097",392350.330413877
"1098",229038.824964113
"1099",662485.863771092
"1100",225019.642468503
"1101",521881.329830615
"1102",317000.489390993
"1103",528494.996537337
"1104",452408.312447747
"1105",1910993.91534921
"1106",1195528.4769046
"1107",487223.17420125
"1108",340117.684645772
"1109",192185.954678526
"1110",906624.184686102
"1111",402378.260631662
"1112",522101.347910008
"1113",554206.63303641
"1114",579020.344636784
"1115",149747.203321924
"1116",570162.273851266
"1117",611928.219166446
"1118",329317.405361233
"1119",591375.879065112
"1120",918705.941497616
"1121",1923708.29859431
"1122",524052.802473763
"1123",294677.147902038
"1124",732963.413205641
"1125",301817.141949965
"1126",687672.515333099
"1127",221063.629071454
"1128",383479.84320714
"1129",497912.178221704
"1130",557960.188382388
"1131",604080.172620384
"1132",629444.637839803
"1133",322089.183435877
"1134",464274.921773928
"1135",443849.34799627
"1136",199186.72456792
"1137",731484.18326376
"1138",689530.478672085
"1139",497925.409616119
"1140",575154.102054993
"1141",256491.94333876
"1142",549376.359456359
"1143",306032.77141332
"1144",482146.287368659
"1145",485690.499844456
"1146",1049439.74893886
"1147",329610.746586254
"1148",211098.846375677
"1149",577525.403273304
"1150",630360.119601525
"1151",2655099.0142268
"1152",429674.652226054
"1153",421781.774179864
"1154",443347.146252864
"1155",261560.303980702
"1156",387611.616311516
"1157",586690.808569082
"1158",218489.077919201
"1159",793143.94820792
"1160",274394.114841915
"1161",437283.880167564
"1162",437195.651373898
"1163",824200.507853027
"1164",328433.145271647
"1165",219007.786381408
"1166",478619.426981457
"1167",272462.526179355
"1168",265100.305741708
"1169",232411.865958473
"1170",391755.939695954
"1171",659146.74430546
"1172",768744.365852517
"1173",284393.799789581
"1174",1029087.14350955
"1175",481290.815161051
"1176",218039.729982481
"1177",1839262.24953391
"1178",490576.301879636
"1179",215627.436419534
"1180",306967.642696552
"1181",460902.855317616
"1182",614621.545416323
"1183",340116.212074316
"1184",237652.769644909
"1185",748610.910909631
"1186",523943.918091482
"1187",358547.863506275
"1188",379987.685977689
"1189",629847.364882076
"1190",245537.484193896
"1191",327401.45108173
"1192",690911.392958691
"1193",297070.181751988
"1194",375186.989931624
"1195",573902.100494431
"1196",302644.470065947
"1197",528021.006667509
"1198",609475.794179368
"1199",259085.081704512
"1200",553428.701451082
"1201",247215.596659662
"1202",776964.739910264
"1203",374661.81649457
"1204",203813.555587793
"1205",416741.932153337
"1206",342050.163673965
"1207",886334.913127625
"1208",205936.762541843
"1209",646379.798460349
"1210",208301.826037567
"1211",907440.841204002
"1212",285035.112942401
"1213",289977.069976306
"1214",239105.195624453
"1215",817925.649897115
"1216",322332.533655435
"1217",300480.88269672
"1218",233660.025124787
"1219",597622.459765821
"1220",1150488.43962995
"1221",503836.336505924
"1222",558319.657753079
"1223",472196.853441871
"1224",512455.964205278
"1225",353449.112650117
"1226",304651.562490293
"1227",234317.019406422
"1228",403904.479073208
"1229",405968.140768626
"1230",902319.771966168
"1231",415126.075931708
"1232",524677.59155418
"1233",451606.759658132
"1234",355349.112061241
"1235",281569.155007837
"1236",263303.466903848
"1237",921185.139621657
"1238",722878.606858039
"1239",438959.603083592
"1240",1031106.07538645
"1241",590886.623728031
"1242",231291.79500897
"1243",1292597.6755132
"1244",262630.964644678
"1245",343571.256927132
"1246",273995.319276255
"1247",302353.280867561
"1248",163832.758640128
"1249",218804.799809311
"1250",328987.997029682
"1251",276126.316763593
"1252",462234.237076804
"1253",486454.325572908
"1254",423098.845253534
"1255",429082.80803981
"1256",303348.946400393
"1257",520786.37544055
"1258",309410.005218813
"1259",1039273.33167688
"1260",552758.914827263
"1261",521341.414779071
"1262",458509.754900043
"1263",149127.74044506
"1264",510441.931505045
"1265",580261.439614577
"1266",2156477.0059339
"1267",4600697.48725451
"1268",243434.026733055
"1269",218564.582089708
"1270",755982.487713249
"1271",1257730.99354913
"1272",481066.694784224
"1273",291110.9619641
"1274",1325780.5892922
"1275",576687.857534557
"1276",568897.719351233
"1277",307156.861070289
"1278",511955.684036661
"1279",264290.199070645
"1280",535944.329363424
"1281",584033.260872891
"1282",451632.520100802
"1283",221975.890211294
"1284",1127691.23327693
"1285",642281.369907651
"1286",376387.033590311
"1287",472206.059222622
"1288",593803.088355449
"1289",561482.287309802
"1290",415019.154154572
"1291",705439.932634709
"1292",437293.30263017
"1293",369300.959194845
"1294",418961.118494141
"1295",640857.337562689
"1296",386999.06296156
"1297",570700.572053057
"1298",168366.732720472
"1299",432022.797292464
"1300",338799.379126485
"1301",347682.468254593
"1302",619244.204277493
"1303",393320.63429726
"1304",671312.856408946
"1305",580551.947854159
"1306",419927.40159569
"1307",353998.67993799
"1308",562538.653254659
"1309",244358.142521002
"1310",426723.104511898
"1311",808093.553721784
"1312",285848.596086697
"1313",403866.41544701
"1314",732041.006190488
"1315",301645.244440784
"1316",331354.330796014
"1317",364663.765700146
"1318",377689.67451874
"1319",576726.996495552
"1320",1025872.25867394
"1321",432762.643764681
"1322",502102.035885322
"1323",357059.151322662
"1324",1026730.27857981
"1325",663300.580837113
"1326",728554.231454817
"1327",247977.980874968
"1328",515965.576112744
"1329",759000.171676735
"1330",461759.331678645
"1331",1118474.3937521
"1332",482793.650290857
"1333",498522.214498723
"1334",275794.513192382
"1335",576851.526252318
"1336",324273.334531572
"1337",830845.294055559
"1338",268328.956754631
"1339",523520.663250633
"1340",441020.24852574
"1341",303914.924517955
"1342",561026.593529218
"1343",383077.343816301
"1344",589436.332327761
"1345",1060961.31673583
"1346",470451.912958656
"1347",506919.201095475
"1348",398913.782633384
"1349",413840.562661248
"1350",483317.131255911
"1351",387742.445064677
"1352",558524.00281626
"1353",573209.937351402
"1354",631201.751893955
